wl,n,k
0.35,1.459806992,0
0.3535,1.458888214,0
0.357,1.457999934,0
0.3605,1.457140781,0
0.364,1.456309461,0
0.3675,1.455504755,0
0.371,1.454725509,0
0.3745,1.453970634,0
0.378,1.453239099,0
0.3815,1.452529928,0
0.385,1.451842198,0
0.3885,1.451175032,0
0.392,1.4505276,0
0.3955,1.449899114,0
0.399,1.449288825,0
0.4025,1.448696022,0
0.406,1.448120029,0
0.4095,1.447560202,0
0.413,1.447015931,0
0.4165,1.446486631,0
0.42,1.445971749,0
0.4235,1.445470754,0
0.427,1.444983141,0
0.4305,1.44450843,0
0.434,1.44404616,0
0.4375,1.443595893,0
0.441,1.443157207,0
0.4445,1.442729704,0
0.448,1.442312998,0
0.4515,1.441906723,0
0.455,1.441510528,0
0.4585,1.441124076,0
0.462,1.440747045,0
0.4655,1.440379126,0
0.469,1.440020022,0
0.4725,1.439669451,0
0.476,1.439327139,0
0.4795,1.438992825,0
0.483,1.438666258,0
0.4865,1.438347197,0
0.49,1.438035409,0
0.4935,1.437730673,0
0.497,1.437432774,0
0.5005,1.437141506,0
0.504,1.43685667,0
0.5075,1.436578077,0
0.511,1.436305542,0
0.5145,1.43603889,0
0.518,1.435777948,0
0.5215,1.435522554,0
0.525,1.435272548,0
0.5285,1.435027779,0
0.532,1.4347881,0
0.5355,1.434553367,0
0.539,1.434323446,0
0.5425,1.434098202,0
0.546,1.43387751,0
0.5495,1.433661244,0
0.553,1.433449287,0
0.5565,1.433241524,0
0.56,1.433037842,0
0.5635,1.432838135,0
0.567,1.432642299,0
0.5705,1.432450233,0
0.574,1.43226184,0
0.5775,1.432077026,0
0.581,1.431895699,0
0.5845,1.431717772,0
0.588,1.43154316,0
0.5915,1.431371779,0
0.595,1.431203549,0
0.5985,1.431038394,0
0.602,1.430876237,0
0.6055,1.430717006,0
0.609,1.43056063,0
0.6125,1.430407041,0
0.616,1.430256172,0
0.6195,1.430107958,0
0.623,1.429962338,0
0.6265,1.42981925,0
0.63,1.429678636,0
0.6335,1.429540438,0
0.637,1.4294046,0
0.6405,1.42927107,0
0.644,1.429139793,0
0.6475,1.42901072,0
0.651,1.428883802,0
0.6545,1.428758989,0
0.658,1.428636235,0
0.6615,1.428515495,0
0.665,1.428396724,0
0.6685,1.428279881,0
0.672,1.428164922,0
0.6755,1.428051807,0
0.679,1.427940496,0
0.6825,1.427830952,0
0.686,1.427723137,0
0.6895,1.427617013,0
0.693,1.427512547,0
0.6965,1.427409702,0
0.7,1.427308446,0