lda,n,k
0.3,1.7882284,0
0.31,1.76688846,0
0.32,1.7492384,0
0.33,1.7345926,0
0.34,1.72240551,0
0.35,1.71224032,0
0.36,1.70374522,0
0.37,1.6966353,0
0.38,1.69067864,0
0.39,1.6856855,0
0.4,1.6815,0
0.41,1.67799347,0
0.42,1.67505931,0
0.43,1.67260886,0
0.44,1.67056809,0
0.45,1.66887502,0
0.46,1.66747757,0
0.47,1.66633185,0
0.48,1.66540078,0
0.49,1.66465292,0
0.5,1.6640616,0
0.51,1.66360409,0
0.52,1.663261,0
0.53,1.66301576,0
0.54,1.66285418,0
0.55,1.66276409,0
0.56,1.66273501,0
0.57,1.66275794,0
0.58,1.66282512,0
0.59,1.66292985,0
0.6,1.66306636,0
0.61,1.66322964,0
0.62,1.66341537,0
0.63,1.66361982,0
0.64,1.66383973,0
0.65,1.6640723,0
0.66,1.6643151,0
0.67,1.66456603,0
0.68,1.66482325,0
0.69,1.66508519,0
0.7,1.66535048,0
0.71,1.66561794,0
0.72,1.66588656,0
0.73,1.66615546,0
0.74,1.66642388,0
0.75,1.66669118,0
0.76,1.6669568,0
0.77,1.66722028,0
0.78,1.66748121,0
0.79,1.66773926,0
0.8,1.66799414,0
0.81,1.66824563,0
0.82,1.66849353,0
0.83,1.66873769,0
0.84,1.66897798,0
0.85,1.66921432,0
0.86,1.66944662,0
0.87,1.66967484,0
0.88,1.66989895,0
0.89,1.67011893,0
0.9,1.67033478,0
0.91,1.67054651,0
0.92,1.67075415,0
0.93,1.67095772,0
0.94,1.67115726,0
0.95,1.67135281,0
0.96,1.67154442,0
0.97,1.67173214,0
0.98,1.67191604,0
0.99,1.67209617,0
1,1.6722726,0
1.01,1.67244539,0
1.02,1.6726146,0
1.03,1.67278031,0
1.04,1.67294258,0
1.05,1.67310148,0
1.06,1.67325708,0
1.07,1.67340945,0
1.08,1.67355866,0
1.09,1.67370477,0
1.1,1.67384786,0
1.11,1.67398799,0
1.12,1.67412522,0
1.13,1.67425962,0
1.14,1.67439127,0
1.15,1.67452021,0
1.16,1.67464651,0
1.17,1.67477023,0
1.18,1.67489144,0
1.19,1.67501019,0
1.2,1.67512654,0